N° LIVRE;N° ISBN;TITRE;AUTEUR;EPOQUE;NATIONALITE;GENRE;SOUS GENRE;CATEGORIE LECTEUR;COMMENTAIRE;REF BIBLI;PRESENT;DATE EMPRUNT;EMPRUNTEUR;RETOUR PREVU
844;9791022606073;DARONNE-LA;CAYRE HANNELORE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-CAY;;;;
845;9782226150998;FLAVIE OU L’ECHAPPEE BELLE;CHAMBON BERTRAND DU;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CHA;;;;
846;9782724218590;HARRICANA;CLAVEL BERNARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CLA;;;;
847;;HOMMES LIBRES;CONTE ARTHUR;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;SOCIAL;ADULTE;PETITE HISTOIRE A L’ORTF 1972;RSO-CON;;;;
848;9782916225562;FABLE DES CLOPORTES-LA;CHERRUEL  MARYSE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CHE;;;;
849;9782070752096;PAR AMOUR DE L’ART;DEBRAY REGIS;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;PHILOSOPHIE;ADULTE;;RPH-DEB;;;;
850;9782724216733;BICYCLETTE BLEUE-LA;DEFORGE REGINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEF;;;;
851;9782260001610;CYPRES MEURENT EN ITALIE-LKES;CASTILLO MICHEL DEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CAS;;;;
852;;CHASSEUR DE TETES;CROUSSY GUY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CRO;;;;
853;;PONEYS SAUVAGES-LES;DEON MICHEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEO;;;;
854;9782298040548;TANTE MAME;DENNIS PATRICK;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HUMOUR;ADULTE;;RHU-DEN;;;;
855;9782081627857;FACE NORD;DEFOSSEZ JEAN MARIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEF;;;;
856;9782213029078;AMORALISTE-L’;DENIS STEPHANE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;SOCIAL;ADULTE;;RSO-DEN;;;;
857;;ENQUETE SUR UN JUGE ASSASSINE;DEROGY JACQUES;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;;DSO-DER;;;;
858;;BOUGAINVILLEE-LA;DESCHAMPS FANNY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;;RHI-DES;;;;
859;;LOUISON;DESCHAMPS FANNY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;;RHI-DES;;;;
860;;PAYS OU L’ON ARRIVE JAMAIS-LE;DHOTEL ANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DHO;;;;
861;9782277219514;37,2° LE MATIN;DJIAN PHILIPPE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DJI;;;;
862;9782253036173;SEXUALITE FEMININE;DOLTO FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;PSYCHOLOGIE;ADULTE;;DPS-DOL;;;;
863;9782253047834;DIFFICULTE DE VIVRE-LA;DOLTO FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;PSYCHOLOGIE;ADULTE;;DPS-DOL;;;;
864;9782724216865;ROMAN DE SOPHIE TREBUCHET-LE;DORMANN GENEVIEVE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;HISTOIRES DE LA MERE DE VICTOR HUGO;RHI-DOR;;;;
865;9782724247450;BAL DU DODO-LE;DORMANN GENEVIEVE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DOR;;;;
866;9782724270029;NOM DU PERE ET DE LA FILLE-AU;DORIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DOR;;;;
867;9782277223436;MIRTACLE SUR LA 8° RUE;DREW WAYLAND;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;SF SCIENCE FICTION;ADULTE;D’APRES LE SCENARIO DU FILM DE SPIELBERG;RSF-DRE;;;;
868;;VOYAGEURS DE L’ESPERANCE;DUHAMEL GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;JEUNESSE;;RRO-DUH;;;;
869;9782744182613;SOIREE-UNE;DUPEREY ANNIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DUP;;;;
870;9782298024050;ENFANT DES NEIGES-L’;DUPUY MARIE BERNADETTE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DUP;;;;
871;9782298000610;MOULIN DU LOUP-LE;DUPUY MARIE BERNADETTE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DUP;;;;
872;9782744153842;ORPHELINE DU BOIS DES LOUPS-L’;DUPUY MARIE BERNADETTE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DUP;;;;
873;9782070368105;RAVISSEMENT DE LOL V.STEIN;DURAS MARGUERITE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DUR;;;;
874;9782724230493;NOM DE LA ROSE-LE;ECO UMBERTO;CONTEMPORAINE (+19°);ITALIEN;ROMAN;ROMAN;ADULTE;2 EXEMPLAIRES – UN BEAU FILM AVEC SEAN CONNERY EN FUT TIRE;RRO-ECO;;;;
875;;AMOUR DE SPARADRAP;EXBRAYAT;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-EXB;;;;
876;;MOI CHRISTINE F. DROGUEE, PROSTITUEE;HERMANN;CONTEMPORAINE (+19°);ALLEMAND;DOCUMENT;SOCIAL;ADULTE;;DSO-HER;;;;
877;;RUE DU CHAT QUI VPECHE-LA;FOLDES YOLANDE;CONTEMPORAINE (+19°);ESPAGNOL;ROMAN;ROMAN;ADULTE;;RRO-FOL;;;;
878;;ERREURS JUDICIAIRES-LES;FLORIOT RENE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;Un avocat raconte;DSO-FLO;;;;
879;9782253005278;GRAND MEAULNES-LE;ALAIN-FOURNIER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-ALA;;;;
880;9782207136249;HERBES FOLLES-LES;FRELING PHILIPPE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-FRE;;;;
881;;PREMIER DE CORDEE;FRISON-ROCHE ROGER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-FRI;;;;
882;;RENDEZ-VOUS D’ESSENDILENE-LE;FRISON-ROCHE ROGER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-FRI;;;;
883;;CORTEGE DES VAINQUEURS-LE;GALLO MAX;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-GAL;;;;
884;9782330053185;SOURCE-LA;GARAT ANNE MARIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GAR;;;;
885;9782253036715;CHEMINS DE BOURGES-LES;FASQUELLE SOLANGE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-FAS;;;;
886;9782271073488;PAROLES DE SAGESSE;FENEUILLE SERGE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;A TRAVERS LES AGES, LES PRECEPTES DE LA SAGESSE;RHI-FEN;;;;
887;;FERRATON, LE FOU, L’ASSASSIN;FERRATON SERGE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;BIOGRAPHIE;ADULTE;;DBI-FER;;;;
888;9782081613676;JE N’AIMERAI QUE TOI;FERRIER BERTRAND;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-FER;;;;
889;9782277218029;MOI, LA CLAIRON;FEUILLERE EDWIGE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;;RHI-FEU;;;;
890;9782070754786;INGRATITUDE-L’;FINKIELKRAUT ALAIN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;PHILOSOPHIE;ADULTE;;RPH-FIN;;;;
891;9782298095777;VIE A TATONS-LA;FITZGERALD MARIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-FIT;;;;
892;9782259020176;QUETEUR DE MEMOIRE-LE;HELIAS PIERRE JAKEZ;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;SOCIAL;TOUT PUBLIC;LA BRETAGNE PROFONDE;RSO-HEL;;;;
893;;70 ANS SUR LES PLANCHES;GREY DENISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;TOUT PUBLIC;;RBI-GRE;;;;
894;;RACINES DU CIEL-LES;GARY ROMAIN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GAR;;;;
895;;VENT D ‘AUTAN-LE;GAULENE GUILLAUME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GAU;;;;
896;9782842637903;BILLIE;GAVALDA ANNA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GAV;;;;
897;9782290340783;JE L ‘AIMAIS;GAVALDA ANNA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GAV;;;;
898;9782290014288;CONSOLANTE-LA;GAVALDA ANNA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GAV;;;;
899;;SEPT ANS DE PENITENCE;GERARD NICOLE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;ADULTE;UNE MEURTRIERE RACONTE;RBI-GER;;;;
900;9782253033868;PRETRE CHEZ LES LOUBARDS-UN;GILBERT GUY;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;;DSO-GIL;;;;
901;9782072721328;BELLE D’AMOUR;GIESBERT FRANZ-OLIVIER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;DESTIN D’UNE FEMME AU TEMPS DES CROISADES;RHI-GIE;;;;
902;9782298075755;IL ETAIT UNE FOIS UNE LISTE;GOLD ROBIN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GOL;;;;
903;9782226245274;PLACE DES MORTS-LA;GRANOTIER SYLVIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GRA;;;;
904;9782290319284;COMMENT OBTENIR CE QUE NOUS DESIRONS;GRAY JOHN;CONTEMPORAINE (+19°);ANGLAIS/USA;DOCUMENT;SOCIAL;ADULTE;;DSO-GRA;;;;
905;;SUD;GREEN JULIEN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GRE;;;;
906;;MAUVAIS LIEU-LE;GREEN JULIEN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GRE;;;;
907;9782277118974;SEUL ENNUI, LES JOURS RACCOURCISSENT-UN;GROULT FLORA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GRO;;;;
908;9782246855873;DISPARITION DE JOSEF MENGELE-LA;GUEZ OLIVIER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;RECIT DE LA TRAQUE DU MEDECIN SS;RHI-GUE;;;;
909;;NAIF AUX 40 ENFANTS-LE;GUTH PAUL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GUT;;;;
910;9782724247639;FILS D’ABRAHAM-LES;HALTER MAREK;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-HAL;;;;
911;9782744106992;MESSIE-LE;HALTER MAREK;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;;RHI-HAL;;;;
912;9782760402942;AUBERGE DES MORTS SUBITES-L’;LECLERC FELIX;CONTEMPORAINE (+19°);CANADIEN;ROMAN;POESIE/THEATRE;ADULTE;;RPO-LEC;;;;
913;9782253065180;GRANDE PETITE FILLE-UNE;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOI;;;;
914;9782253022176;ESPRIT DE FAMILLE-L’;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOI;;;;
915;9782724225007;SUR LES BORDS DE LA GARTEMPE;DEFORGE REGINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEF;;;;
916;9782724226968;DIABLE EN RIT?ENCORE-LE;DEFORGE REGINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEF;;;;
917;9782724211936;ET LE BONHEUR MAMAN ?;DALLAYRAC DOMINIQUE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DAL;;;;
918;9782277212355;SAISON DES LOUPS-LA;CLAVEL BERNARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CLA;;;;
919;9782277112907;TONNERRE DE DIEU-LE;CLAVEL BERNARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CLA;;;;
920;9782253045212;CHERS ENFANTS;COLLANGE CHRISTIANE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-COL;;;;
921;9782724224620;SEGOU;CONDE MARYSE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CON;;;;
922;;ETE DU GRAND BONHEUR-L’;COULONGES GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-COU;;;;
923;9782253031222;JOELLE MAZART;COULONGES GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-COU;;;;
924;9782253029328;PAUSE CAFE;COULONGES GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-COU;;;;
925;9782253150908;ALCHIMISTE-L’;COELHO PAULO;CONTEMPORAINE (+19°);AMERIQUE DU SUD;ROMAN;ROMAN;ADULTE;;RRO-COE;;;;
926;9782253147107;CINQUIEME MONTAGNE-LA;COELHO PAULO;CONTEMPORAINE (+19°);AMERIQUE DU SUD;ROMAN;ROMAN;ADULTE;;RRO-COE;;;;
927;;SOUVERAINE-LA;CESBRON GILBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CES;;;;
928;9782253025062;DON JUAN EN AUTOMNE;CESBRON GILBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CES;;;;
929;;JE SUIS MAL DANS TA PEAU;CESBRON GILBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CES;;;;
930;;SOULIER DE SATIN-LE;CLAUDEL PAUL;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;POESIE/THEATRE;ADULTE;;LPO-CLA;;;;
931;9782724220480;TIENNOT;CLAVEL BERNARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CLA;;;;
932;9782277213567;FEMME DE GUERRE-LA;CLAVEL BERNARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CLA;;;;
933;9782846751308;L.A CONFIDENTIEL-LES SECRETS DE LANCE ARMSTRONG;BALLESTER-WALSH;CONTEMPORAINE (+19°);ANGLAIS/USA;DOCUMENT;SOCIAL;ADULTE;;DSO-BAL;;;;
934;9782207300862;ILE SOUS CLOCHE-L’;LANGLAIS XAVIER-DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;SF SCIENCE FICTION;ADULTE;;RSF-LAN;;;;
935;9782286004248;RIVE REINE;DENUZIERE MAURICE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEN;;;;
936;9782724269829;HELVETIE;DENUZIERE MAURICE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEN;;;;
937;9782724237030;ADIEU AU SUD-L’;DENUZIERE MAURICE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEN;;;;
938;9782020251594;PROMENEUSE D’OISEAUX-LA;DECOIN DIDIER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DEC;;;;
939;9782286004385;ENVOL DES TOURTERELLES-L’;COUSTURE ARLETTE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-COU;;;;
940;9782221099384;CHATEAUN DE VERRE-LE;WALLS JEANNETTE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-WAL;;;;
941;9782351640135;COUP DE CHIFLET-LE;CHIFLET JEAN LOUP;CONTEMPORAINE (+19°);FRANCAIS;HUMOUR;HUMOUR;ADULTE;;HHU-CHI;;;;
942;9782351640807;PORC OU COCHON;CHIFLET JEAN LOUP;CONTEMPORAINE (+19°);FRANCAIS;HUMOUR;HUMOUR;ADULTE;;HHU-CHI;;;;
943;9782246854838;CENT TITRES;MELOIS CLEMENTINE;CONTEMPORAINE (+19°);FRANCAIS;HUMOUR;HUMOUR;ADULTE;;HHU-MEL;;;;
944;9782869851450;OGM DANS NOTRE ASSIETTE ?-LES;CHEVALLIER CATHERINE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SCIENCES ET TECHNIQUES;ADULTE;;DSC-CHE;;;;
945;9782754013741;POUR LES NULS L’ELECTRONIQUE;SHAMIEH-MC COMB;CONTEMPORAINE (+19°);ANGLAIS/USA;DOCUMENT;SCIENCES ET TECHNIQUES;ADULTE;;DSC-SHA;;;;
946;9782351780091;COMBATTANTS DE L’ARC EN CIEL-LES;HUNTER ROBERT;CONTEMPORAINE (+19°);ANGLAIS/USA;DOCUMENT;SOCIAL;ADULTE;LES DEBUTS DE GREENPEACE;DSO-HUN;;;;
947;9782843041013;SECRET DES CHUCHOTEURS AMERICAINS-LES;PILLEY-MIRANDE NATHALIE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;ZOOLOGIE;ADULTE;;DZO-PIL;;;;
948;9782201016496;PLUS BEAUX POEMES POUR LA PAIX-LES;COMBES FRANCIS;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;POESIE/THEATRE;ADULTE;;LPO-COM;;;;
949;9782286464905;JOUR DE SILENCE A TANGER;BEN JELLOUN TAHAR;CONTEMPORAINE (+19°);ARABE;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
950;;HOMMES NE MEURENT JAMAIS-LES;BARNARD CHRISTIAAN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BAR;;;;
951;9782858025417;ENFANTS DE LA GUADELOUPE-LES;BEBEL-GISLER DANY;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;;DSO-BEB;;;;
952;9782253001457;VIPERE AU POING;BAZIN HERVE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-BAZ;;;;
953;;TETE CONTRE LES MURS-LA;BAZIN HERVE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BAZ;;;;
954;9782070429905;DANS L ‘ENFER DES TOURNANTES;BELLIL SAMIRA;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;;DSO-BEL;;;;
955;9782277212973;AMOURS AU PARADIS-LES;CARTLAND BARBARA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CAR;;;;
956;9782724214218;MATOU-LE;BEAUCHEMIN YVES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEA;;;;
957;9782253020052;NOUVEAUX DOSSIERS EXTRAORDINAIRES-LES;ANTOINE/BELLEMARE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-ANT;;;;
958;9782253041412;DOSSIERS SECRETS -T1;ANTOINE/BELLEMARE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-ANT;;;;
959;9782253041979;DOSSIERS SECRETS -T2;ANTOINE/BELLEMARE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-ANT;;;;
960;9782266040372;CRIMES PASSIONNELS- T1;ANTOINE/BELLEMARE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-ANT;;;;
961;9782266040389;CRIMES PASSIONNELS- T2;ANTOINE/BELLEMARE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-ANT;;;;
962;9782253037453;SUSPENS- T3;ANTOINE/BELLEMARE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-ANT;;;;
963;9782863910027;DOSSIERS D’INTERPOL-LES;ANTOINE/BELLEMARE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-ANT;;;;
964;9782377350155;JAMAIS SANS MES SOEURS;KRISTINA, CELESTE ET JULIANA;CONTEMPORAINE (+19°);ANGLAIS/USA;DOCUMENT;SOCIAL;ADULTE;;DSO-KRI;;;;
965;9782266188203;NOM DE JEUNE FILLE;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
966;9782266212618;ESPOIR ET DE PROMESSE-D’;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
967;9782266184359;CADEAU INESPERE-UN;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
968;9782266216166;SOUPCON D’INTERDIT-UN;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
969;9782266265775;CAMARGAISE-LA;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
970;9782266255493;FEU ET A SANG-A;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
971;9782266154659;RENDEZ-VOUS A KERLOC’H;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
972;9782298113532;PERDRE HALEINE-A;LESIEWICZ AGA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-LES;;;;
973;9782290210659;CHANT DES SIRENES;MC DERMID VAL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-MC ;;;;
974;9782253017332;MUCHACHAS;PANCOL CKATHERINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-PAN;;;;
975;9782266261586;VIE EST FACILE, NE T’INQUIETE PAS-LA;MARTIN-LUGAN AGNES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAR;;;;
976;9782757835166;MAISON DES ABSENTS-LA;FRENCH TANA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-FRE;;;;
977;9782290018064;TRUE BLOOD-LA COMMUNAUTE DU SUD;HARRIS CHARLENE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;THRILLER;ADULTE;;RTH-HAR;;;;
978;9782013220170;INCONNU A CETTE ADRESSE;TAYLOR KRESSMANN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-TAY;;;;
979;9782253039877;LORENZACCIO;MUSSET ALFRED DE;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;POESIE/THEATRE;TOUT PUBLIC;;LPO-MUS;;;;
980;9782070518425;HARRY POTTER A L’ECOLE DES SORCIERS;ROWLING J.K;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;JEUNESSE;;RRO-ROW;;;;
981;9782877303842;BEBES DE LA CONSIGNE AUTOMATIQUE-LES;MURAKAMI RYU;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;ROMAN;ADULTE;;RRO-MUR;;;;
982;9782253039365;CAUSE DES ENFANTS-LA;DOLTO FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;PSYCHOLOGIE;ADULTE;;DPS-DOL;;;;
983;;HISTOIRE SA NS FIN-L’;ENDE MICHAEL;CONTEMPORAINE (+19°);ALLEMAND;ROMAN;FANTASY;TOUT PUBLIC;;RFA-END;;;;
984;9782724208005;MARIE BON PAIN;CLAVEL BERNARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CLA;;;;
985;9782724212940;COMPAGNONS DU NOUVEAU MONDE;CLAVEL BERNARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CLA;;;;
986;9782749946412;CARNETS DE GUERRE COVID 19;RAOULT DIDIER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;SCIENCES ET TECHNIQUES;ADULTE;;RSC-RAO;;;;
987;9782744155608;NAVIRE AUX ESCLAVES-LE;HOBB ROBIN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;FANTASY;ADULTE;;RFA-HOB;;;;
988;9782298011036;SOLDAT CHAMANE-T2- LE CAVALIER REVEUR;HOBB ROBIN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;FANTASY;ADULTE;;RFA-HOB;;;;
989;9782298011913;SOLDAT CHAMANE-T3 LE FILS REJETE;HOBB ROBIN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;FANTASY;ADULTE;;RFA-HOB;;;;
