N° LIVRE;N° ISBN;TITRE;AUTEUR;EPOQUE;NATIONALITE;GENRE;SOUS GENRE;CATEGORIE LECTEUR;COMMENTAIRE;REF BIBLI;PRESENT;DATE EMPRUNT;EMPRUNTEUR;RETOUR PREVU
521;9782809818819;ORAGES DE L'ETE-LES;MCKINLEY TAMARA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;EN AUSTRALIE, LA RECHERCHE DE SES RACINES;RRO-MCK;;;;
522;9782221106396;GLYPHES;MCAULEY PAUL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;POLAR+THRILLER+SF;RTH-MCA;;;;
523;9782811219123;MEILLEURS VOEUXDES GILLESPIE;MCINERNEY MONICA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-MCI;;;;
524;9782869303553;CONFLITS DE FAMILLE;LURIE ALISON;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-LUR;;;;
525;9782715223981;PHOTOGRAPHIE-LA;LIVELY PENELOPE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-LIV;;;;
526;9782355843204;REPONSES-LES;LITTLE ELIZABETH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;A;RTH-LIT;;;;
527;9782081633889;TEMOINS EN DANGER;SMITH ROLAND;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-SMI;;;;
528;9782277111651;CICATRICE-LA;LOWERY BRUCE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;TOUT PUBLIC;;RRO-LOW;;;;
529;9782253033745;JUSQU'AU MATIN  T1;SUYIN HAN;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;ROMAN;ADULTE;;RRO-SUY;;;;
530;9782253032342;JUSQU'AU MATIN  T2;SUYIN HAN;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;ROMAN;ADULTE;;RRO-SUY;;;;
531;;TATIANA;SIMONS PAULLINA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-SIM;;;;
532;;JEU DE JUMELLES;ANDERSEN JAN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-AND;;;;
533;9782724210840;JUBILEE;WALKER MARGARET;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE;HISTOIRE D4UNE ESCLAVE NOIRE A L'EPOQUE DE LA GUERRE DE SESSESSION;RHI-WAL;;;;
534;9782715803091;SEIGNEURS DE LA LANDE-LES;GEDGE PAULINE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE;LUTTE DES CELTES POUR LEUR LIBERTE FACE AUX ROMAINS;RHI-GED;;;;
535;9782744151696;CADEAU DU CIEL-UN;RICE LUANNE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-RIC;;;;
536;9782724242025;GRAND BOSS-LA;COLLINS JACKIE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-COL;;;;
537;9782915056198;CINQ PERSONNES QUE J'AI RENCONTREES LA HAUT-LES;ALBOM MITCH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-ALB;;;;
538;;TENDRESSE ET FANTAISIE;DUNN ELISABETH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-DUN;;;;
539;9782010136825;SANG D'ENCRE;CHARLES STEVEN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;SERIE PRIVATE SCHOOL -T4;RTH-CHA;;;;
540;978227721061;MALASPIGA-LES;ANTHONY EVELYN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-ANT;;;;
541;9782266199964;QUITTER LE MONDE;KENNEDY DOUGLAS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KEN;;;;
542;;CHEMINS DE L'INNOCENCE;CALDWELL TAYLOR;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-CAL;;;;
